Operon number	Sequence	Start	Stop	Strand	Number of Genes	Genes_1	Genes_2	Genes_3	Genes_4	Genes_5	Genes_6	Genes_7	Genes_8	Genes_9	Genes_10	Genes_11	Genes_12	Genes_13	Genes_14	Genes_15	Genes_16
operon 991	NZ_CP015225.1	5959053	5962436	+	3	TK06_RS25800	TK06_RS25805	TK06_RS25810													
operon 992	NZ_CP015225.1	5963267	5966547	+	3	TK06_RS25820	TK06_RS25825	TK06_RS25830													
operon 993	NZ_CP015225.1	5966693	5969247	+	3	TK06_RS25835	TK06_RS25840	TK06_RS25845													
operon 994	NZ_CP015225.1	5975211	5978776	+	3	TK06_RS25875	TK06_RS25880	TK06_RS25885													
operon 995	NZ_CP015225.1	5978960	5983768	-	3	TK06_RS25890	TK06_RS25895	TK06_RS25900													
operon 996	NZ_CP015225.1	5983950	5985174	+	2	TK06_RS25905	TK06_RS25910														
operon 997	NZ_CP015225.1	5990034	5992241	+	3	TK06_RS25940	TK06_RS25945	TK06_RS25950													
operon 998	NZ_CP015225.1	6001539	6004868	+	3	TK06_RS25980	TK06_RS25985	TK06_RS25990													
operon 999	NZ_CP015225.1	6006620	6008001	+	2	TK06_RS26000	TK06_RS31295														
operon 1000	NZ_CP015225.1	6009099	6010224	+	2	TK06_RS26015	TK06_RS26020														
operon 1001	NZ_CP015225.1	6015261	6018460	-	3	TK06_RS26055	TK06_RS26060	TK06_RS26065													
operon 1002	NZ_CP015225.1	6018633	6023379	+	5	TK06_RS26070	TK06_RS26075	TK06_RS26080	TK06_RS26085	TK06_RS26090											
operon 1003	NZ_CP015225.1	6024072	6025178	-	2	TK06_RS26100	TK06_RS26105														
operon 1004	NZ_CP015225.1	6025302	6028675	-	3	TK06_RS26110	TK06_RS26115	TK06_RS26120													
operon 1005	NZ_CP015225.1	6030031	6031969	+	2	TK06_RS26130	TK06_RS26135														
operon 1006	NZ_CP015225.1	6032089	6034004	-	2	TK06_RS26140	TK06_RS26145														
operon 1007	NZ_CP015225.1	6034169	6035203	+	2	TK06_RS26150	TK06_RS26155														
operon 1008	NZ_CP015225.1	6044579	6045695	+	3	TK06_RS26210	TK06_RS26215	TK06_RS26220													
operon 1009	NZ_CP015225.1	6045773	6048608	-	2	TK06_RS26225	TK06_RS26230														
operon 1010	NZ_CP015225.1	6051166	6053991	+	2	TK06_RS26245	TK06_RS26250														
operon 1011	NZ_CP015225.1	6054124	6057532	-	3	TK06_RS26255	TK06_RS26260	TK06_RS26265													
operon 1012	NZ_CP015225.1	6065869	6067541	-	3	TK06_RS26315	TK06_RS26320	TK06_RS26325													
operon 1013	NZ_CP015225.1	6071511	6073195	+	2	TK06_RS26355	TK06_RS26360														
operon 1014	NZ_CP015225.1	6075124	6078307	+	2	TK06_RS26375	TK06_RS26380														
operon 1015	NZ_CP015225.1	6082936	6086194	+	3	TK06_RS26400	TK06_RS26405	TK06_RS26410													
operon 1016	NZ_CP015225.1	6088627	6094060	-	5	TK06_RS25345	TK06_RS26430	TK06_RS26435	TK06_RS26440	TK06_RS26445											
operon 1017	NZ_CP015225.1	6100707	6102151	-	2	TK06_RS26480	TK06_RS26485														
operon 1018	NZ_CP015225.1	6105463	6107618	-	3	TK06_RS26505	TK06_RS26510	TK06_RS26515													
operon 1019	NZ_CP015225.1	6112374	6117220	+	5	TK06_RS26535	TK06_RS26540	TK06_RS26545	TK06_RS26550	TK06_RS26555											
operon 1020	NZ_CP015225.1	6123953	6125962	+	2	TK06_RS26595	TK06_RS26600														
operon 1021	NZ_CP015225.1	6130966	6131801	+	2	TK06_RS26625	TK06_RS26630														
operon 1022	NZ_CP015225.1	6132058	6134644	+	3	TK06_RS26635	TK06_RS26640	TK06_RS26645													
operon 1023	NZ_CP015225.1	6134793	6135840	+	2	TK06_RS26650	TK06_RS26655														
operon 1024	NZ_CP015225.1	6136430	6137598	-	2	TK06_RS26660	TK06_RS26665														
operon 1025	NZ_CP015225.1	6137701	6139874	-	2	TK06_RS26670	TK06_RS26675														
operon 1026	NZ_CP015225.1	6141825	6158636	+	15	TK06_RS26690	TK06_RS26695	TK06_RS26700	TK06_RS26705	TK06_RS26710	TK06_RS26715	TK06_RS26720	TK06_RS26725	TK06_RS26730	TK06_RS26735	TK06_RS26740	TK06_RS26745	TK06_RS26750	TK06_RS26755	TK06_RS26760	
operon 1027	NZ_CP015225.1	6163226	6169543	-	4	TK06_RS26780	TK06_RS26785	TK06_RS26790	TK06_RS26795												
operon 1028	NZ_CP015225.1	6172927	6176207	+	3	TK06_RS26815	TK06_RS26820	TK06_RS26825													
operon 1029	NZ_CP015225.1	6176480	6177806	-	2	TK06_RS26830	TK06_RS26835														
operon 1030	NZ_CP015225.1	6179580	6183012	-	3	TK06_RS26845	TK06_RS26850	TK06_RS26855													
operon 1031	NZ_CP015225.1	6183221	6194544	-	8	TK06_RS26860	TK06_RS26865	TK06_RS26870	TK06_RS26875	TK06_RS26880	TK06_RS26885	TK06_RS26890	TK06_RS26895								
operon 1032	NZ_CP015225.1	6199475	6200643	+	3	TK06_RS26915	TK06_RS26920	TK06_RS26925													
operon 1033	NZ_CP015225.1	6204799	6207030	-	2	TK06_RS26950	TK06_RS26955														
operon 1034	NZ_CP015225.1	6207504	6211666	+	4	TK06_RS26960	TK06_RS26965	TK06_RS26970	TK06_RS26975												
operon 1035	NZ_CP015225.1	6211726	6212516	-	2	TK06_RS26980	TK06_RS26985														
operon 1036	NZ_CP015225.1	6212681	6214688	+	2	TK06_RS26990	TK06_RS26995														
operon 1037	NZ_CP015225.1	6216747	6218107	-	2	TK06_RS27015	TK06_RS27020														
operon 1038	NZ_CP015225.1	6223551	6225904	-	3	TK06_RS27040	TK06_RS27045	TK06_RS27050													
operon 1039	NZ_CP015225.1	6226435	6228610	+	2	TK06_RS27055	TK06_RS27060														
operon 1040	NZ_CP015225.1	6228857	6231516	+	2	TK06_RS27065	TK06_RS27070														
operon 1041	NZ_CP015225.1	6231700	6233284	+	2	TK06_RS27075	TK06_RS27080														
operon 1042	NZ_CP015225.1	6233476	6234958	+	2	TK06_RS27085	TK06_RS27090														
operon 1043	NZ_CP015225.1	6236912	6241124	+	2	TK06_RS27100	TK06_RS27105														
operon 1044	NZ_CP015225.1	6244335	6245681	+	3	TK06_RS27125	TK06_RS27130	TK06_RS27135													
operon 1045	NZ_CP015225.1	6253430	6254775	-	2	TK06_RS27170	TK06_RS27175														
operon 1046	NZ_CP015225.1	6255826	6260993	+	4	TK06_RS27185	TK06_RS27190	TK06_RS27195	TK06_RS27200												
operon 1047	NZ_CP015225.1	6273570	6281936	-	5	TK06_RS27240	TK06_RS27245	TK06_RS27250	TK06_RS27255	TK06_RS27260											
operon 1048	NZ_CP015225.1	6283803	6285376	+	3	TK06_RS27270	TK06_RS27275	TK06_RS27280													
operon 1049	NZ_CP015225.1	6291769	6294851	+	2	TK06_RS27305	TK06_RS27310														
operon 1050	NZ_CP015225.1	6296289	6299113	+	3	TK06_RS27320	TK06_RS27325	TK06_RS27330													
operon 1051	NZ_CP015225.1	6304409	6307493	-	2	TK06_RS27365	TK06_RS27370														
operon 1052	NZ_CP015225.1	6309738	6312550	+	3	TK06_RS27380	TK06_RS27385	TK06_RS27390													
operon 1053	NZ_CP015225.1	6317788	6323176	-	5	TK06_RS27420	TK06_RS27425	TK06_RS27430	TK06_RS27435	TK06_RS27440											
operon 1054	NZ_CP015225.1	6326788	6329655	-	3	TK06_RS27460	TK06_RS27465	TK06_RS27470													
operon 1055	NZ_CP015225.1	6335232	6338116	+	3	TK06_RS27490	TK06_RS27495	TK06_RS27500													
operon 1056	NZ_CP015225.1	6338252	6341836	-	3	TK06_RS27505	TK06_RS27510	TK06_RS27515													
operon 1057	NZ_CP015225.1	6345772	6346407	+	2	TK06_RS27535	TK06_RS27540														
operon 1058	NZ_CP015225.1	6352510	6354180	+	2	TK06_RS27585	TK06_RS27590														
operon 1059	NZ_CP015225.1	6354308	6358310	+	5	TK06_RS27595	TK06_RS27600	TK06_RS27605	TK06_RS27610	TK06_RS27615											
operon 1060	NZ_CP015225.1	6358363	6359706	+	2	TK06_RS27620	TK06_RS27625														
operon 1061	NZ_CP015225.1	6359873	6361214	+	2	TK06_RS27630	TK06_RS27635														
operon 1062	NZ_CP015225.1	6364474	6368578	-	4	TK06_RS27655	TK06_RS27660	TK06_RS27665	TK06_RS27670												
operon 1063	NZ_CP015225.1	6371537	6374077	-	2	TK06_RS27690	TK06_RS27695														
operon 1064	NZ_CP015225.1	6374254	6377509	-	2	TK06_RS27700	TK06_RS27705														
operon 1065	NZ_CP015225.1	6382334	6385921	-	3	TK06_RS27730	TK06_RS27735	TK06_RS27740													
operon 1066	NZ_CP015225.1	6386134	6388282	-	3	TK06_RS27745	TK06_RS27750	TK06_RS27755													
operon 1067	NZ_CP015225.1	6396908	6398934	-	2	TK06_RS27795	TK06_RS27800														
operon 1068	NZ_CP015225.1	6399757	6402296	+	2	TK06_RS27810	TK06_RS27815														
operon 1069	NZ_CP015225.1	6404459	6406179	-	2	TK06_RS27835	TK06_RS27840														
operon 1070	NZ_CP015225.1	6410709	6415039	-	6	TK06_RS27870	TK06_RS27875	TK06_RS27880	TK06_RS27885	TK06_RS27890	TK06_RS27895										
operon 1071	NZ_CP015225.1	6421087	6423074	+	2	TK06_RS27925	TK06_RS27930														
operon 1072	NZ_CP015225.1	6424263	6426213	+	2	TK06_RS27940	TK06_RS27945														
operon 1073	NZ_CP015225.1	6426328	6427941	+	3	TK06_RS27950	TK06_RS27955	TK06_RS27960													
operon 1074	NZ_CP015225.1	6428166	6432354	-	2	TK06_RS27965	TK06_RS27970														
operon 1075	NZ_CP015225.1	6432510	6436130	-	3	TK06_RS27975	TK06_RS27980	TK06_RS27985													
operon 1076	NZ_CP015225.1	6438595	6439690	-	2	TK06_RS28000	TK06_RS28005														
operon 1077	NZ_CP015225.1	6439798	6440695	-	2	TK06_RS28010	TK06_RS28015														
operon 1078	NZ_CP015225.1	6440783	6444073	+	4	TK06_RS28020	TK06_RS28025	TK06_RS28030	TK06_RS28035												
operon 1079	NZ_CP015225.1	6457261	6458282	-	2	TK06_RS28095	TK06_RS28100														
operon 1080	NZ_CP015225.1	6463057	6464993	+	3	TK06_RS28135	TK06_RS28140	TK06_RS28145													
operon 1081	NZ_CP015225.1	6468951	6469461	-	2	TK06_RS28165	TK06_RS28170														
operon 1082	NZ_CP015225.1	6473472	6474856	+	2	TK06_RS28185	TK06_RS28190														
operon 1083	NZ_CP015225.1	6478652	6482217	+	3	TK06_RS28210	TK06_RS28215	TK06_RS28220													
operon 1084	NZ_CP015225.1	6482348	6485071	+	3	TK06_RS28225	TK06_RS28230	TK06_RS28235													
operon 1085	NZ_CP015225.1	6487329	6491283	+	2	TK06_RS28250	TK06_RS28255														
operon 1086	NZ_CP015225.1	6497599	6499891	+	2	TK06_RS28310	TK06_RS28315														
operon 1087	NZ_CP015225.1	6503734	6504566	-	2	TK06_RS28335	TK06_RS28340														
operon 1088	NZ_CP015225.1	6505582	6507394	+	2	TK06_RS28350	TK06_RS28355														
operon 1089	NZ_CP015225.1	6507694	6510640	+	4	TK06_RS28360	TK06_RS28365	TK06_RS28370	TK06_RS28375												
operon 1090	NZ_CP015225.1	6514769	6517098	+	2	TK06_RS28385	TK06_RS28390														
operon 1091	NZ_CP015225.1	6519715	6521735	+	2	TK06_RS28410	TK06_RS28415														
operon 1092	NZ_CP015225.1	6527805	6529385	+	2	TK06_RS28445	TK06_RS28450														
operon 1093	NZ_CP015225.1	6529473	6530846	-	3	TK06_RS28455	TK06_RS28460	TK06_RS28465													
operon 1094	NZ_CP015225.1	6531591	6532429	-	2	TK06_RS28475	TK06_RS28480														
operon 1095	NZ_CP015225.1	6537549	6539821	+	2	TK06_RS28500	TK06_RS28505														
operon 1096	NZ_CP015225.1	6542282	6543681	+	2	TK06_RS28515	TK06_RS28520														
operon 1097	NZ_CP015225.1	6544283	6546713	-	3	TK06_RS28530	TK06_RS28535	TK06_RS28540													
operon 1098	NZ_CP015225.1	6547078	6549242	+	2	TK06_RS28545	TK06_RS28550														
operon 1099	NZ_CP015225.1	6551601	6553798	-	3	TK06_RS31320	TK06_RS28570	TK06_RS28575													
operon 1100	NZ_CP015225.1	6554248	6563081	+	10	TK06_RS28580	TK06_RS28585	TK06_RS28590	TK06_RS28595	TK06_RS28600	TK06_RS28605	TK06_RS28610	TK06_RS28615	TK06_RS28620	TK06_RS28625						
operon 1101	NZ_CP015225.1	6563125	6564193	-	2	TK06_RS28630	TK06_RS28635														
operon 1102	NZ_CP015225.1	6564565	6566230	+	2	TK06_RS28640	TK06_RS28645														
operon 1103	NZ_CP015225.1	6578632	6581737	+	2	TK06_RS28700	TK06_RS28705														
operon 1104	NZ_CP015225.1	6584941	6587914	-	2	TK06_RS28745	TK06_RS28750														
operon 1105	NZ_CP015225.1	6589762	6590873	+	3	TK06_RS28765	TK06_RS28770	TK06_RS28775													
operon 1106	NZ_CP015225.1	6591062	6596022	+	2	TK06_RS28780	TK06_RS28785														
operon 1107	NZ_CP015225.1	6601649	6602140	+	2	TK06_RS28805	TK06_RS28810														
operon 1108	NZ_CP015225.1	6602367	6603790	+	2	TK06_RS28815	TK06_RS28820														
operon 1109	NZ_CP015225.1	6604013	6608134	-	5	TK06_RS28825	TK06_RS28830	TK06_RS28835	TK06_RS28840	TK06_RS28845											
operon 1110	NZ_CP015225.1	6613117	6614183	-	2	TK06_RS28875	TK06_RS28880														
operon 1111	NZ_CP015225.1	6615240	6617370	+	2	TK06_RS28890	TK06_RS28895														
operon 1112	NZ_CP015225.1	6618650	6620513	-	2	TK06_RS28905	TK06_RS28910														
operon 1113	NZ_CP015225.1	6620661	6623164	-	3	TK06_RS28915	TK06_RS28920	TK06_RS28925													
operon 1114	NZ_CP015225.1	6639904	6642743	+	3	TK06_RS29005	TK06_RS29010	TK06_RS29015													
operon 1115	NZ_CP015225.1	6643580	6646031	+	2	TK06_RS29025	TK06_RS29030														
operon 1116	NZ_CP015225.1	6648613	6651464	-	3	TK06_RS29050	TK06_RS29055	TK06_RS29060													
operon 1117	NZ_CP015225.1	6651588	6655252	-	3	TK06_RS29065	TK06_RS29070	TK06_RS29075													
operon 1118	NZ_CP015225.1	6660779	6662858	-	2	TK06_RS29105	TK06_RS29110														
operon 1119	NZ_CP015225.1	6664362	6666328	+	2	TK06_RS29120	TK06_RS29125														
operon 1120	NZ_CP015225.1	6668272	6671500	+	4	TK06_RS29135	TK06_RS29140	TK06_RS29145	TK06_RS29150												
operon 1121	NZ_CP015225.1	6671763	6675860	+	2	TK06_RS29155	TK06_RS29160														
operon 1122	NZ_CP015225.1	6677616	6679666	+	2	TK06_RS29170	TK06_RS29175														
operon 1123	NZ_CP015225.1	6682902	6683836	+	2	TK06_RS29195	TK06_RS29200														
operon 1124	NZ_CP015225.1	6683924	6686627	+	2	TK06_RS29205	TK06_RS29210														
operon 1125	NZ_CP015225.1	6689489	6691236	-	2	TK06_RS29230	TK06_RS29235														
operon 1126	NZ_CP015225.1	6691485	6696439	-	3	TK06_RS29240	TK06_RS29245	TK06_RS29250													
operon 1127	NZ_CP015225.1	6696639	6698491	+	3	TK06_RS29255	TK06_RS29260	TK06_RS29265													
operon 1128	NZ_CP015225.1	6699284	6700926	+	2	TK06_RS29275	TK06_RS29280														
operon 1129	NZ_CP015225.1	6715293	6719238	-	3	TK06_RS29365	TK06_RS29370	TK06_RS29375													
operon 1130	NZ_CP015225.1	6720749	6724955	-	5	TK06_RS29390	TK06_RS29395	TK06_RS29400	TK06_RS29405	TK06_RS29410											
operon 1131	NZ_CP015225.1	6726813	6736728	+	11	TK06_RS29425	TK06_RS29430	TK06_RS29435	TK06_RS29440	TK06_RS29445	TK06_RS29450	TK06_RS29455	TK06_RS29460	TK06_RS29465	TK06_RS29470	TK06_RS29475					
operon 1132	NZ_CP015225.1	6737805	6740090	-	3	TK06_RS29480	TK06_RS29485	TK06_RS29490													
operon 1133	NZ_CP015225.1	6745877	6747205	+	2	TK06_RS29515	TK06_RS29520														
operon 1134	NZ_CP015225.1	6747342	6749056	+	2	TK06_RS29525	TK06_RS29530														
operon 1135	NZ_CP015225.1	6752323	6756873	+	7	TK06_RS29545	TK06_RS29550	TK06_RS29555	TK06_RS29560	TK06_RS29565	TK06_RS29570	TK06_RS29575									
operon 1136	NZ_CP015225.1	6757141	6761505	+	4	TK06_RS29580	TK06_RS29585	TK06_RS29590	TK06_RS29595												
operon 1137	NZ_CP015225.1	6765638	6768256	+	3	TK06_RS29605	TK06_RS29610	TK06_RS29615													
operon 1138	NZ_CP015225.1	6769079	6770817	+	3	TK06_RS29625	TK06_RS29630	TK06_RS29635													
operon 1139	NZ_CP015225.1	6770941	6772638	+	2	TK06_RS29640	TK06_RS29645														
operon 1140	NZ_CP015225.1	6773175	6778029	+	5	TK06_RS29655	TK06_RS29660	TK06_RS29665	TK06_RS29670	TK06_RS29675											
operon 1141	NZ_CP015225.1	6778155	6779317	+	2	TK06_RS29680	TK06_RS29685														
operon 1142	NZ_CP015225.1	6782447	6783629	+	2	TK06_RS29700	TK06_RS29705														
operon 1143	NZ_CP015225.1	6783792	6785410	+	2	TK06_RS29710	TK06_RS29715														
operon 1144	NZ_CP015225.1	6786641	6790244	+	3	TK06_RS29725	TK06_RS29730	TK06_RS29735													
operon 1145	NZ_CP015225.1	6790398	6791155	-	2	TK06_RS29740	TK06_RS29745														
operon 1146	NZ_CP015225.1	6792653	6794273	+	2	TK06_RS29760	TK06_RS29765														
operon 1147	NZ_CP015225.1	6802487	6806243	+	5	TK06_RS29800	TK06_RS29805	TK06_RS29810	TK06_RS29815	TK06_RS29820											
operon 1148	NZ_CP015225.1	6810825	6813994	+	3	TK06_RS29855	TK06_RS29860	TK06_RS29865													
operon 1149	NZ_CP015225.1	6815540	6819740	+	3	TK06_RS29875	TK06_RS29880	TK06_RS29885													
operon 1150	NZ_CP015225.1	6826235	6829238	-	4	TK06_RS29925	TK06_RS29930	TK06_RS29935	TK06_RS29940												
operon 1151	NZ_CP015225.1	6838446	6839924	+	2	TK06_RS29985	TK06_RS29990														
operon 1152	NZ_CP015225.1	6841220	6842451	+	3	TK06_RS30000	TK06_RS30005	TK06_RS30010													
operon 1153	NZ_CP015225.1	6842684	6843825	+	2	TK06_RS30015	TK06_RS30020														
operon 1154	NZ_CP015225.1	6846836	6847995	+	2	TK06_RS30040	TK06_RS30045														
operon 1155	NZ_CP015225.1	6849429	6852034	+	3	TK06_RS30060	TK06_RS30065	TK06_RS30070													
operon 1156	NZ_CP015225.1	6854171	6855708	+	2	TK06_RS31350	TK06_RS31355														
operon 1157	NZ_CP015225.1	6857300	6858416	-	2	TK06_RS30090	TK06_RS30095														
operon 1158	NZ_CP015225.1	6867109	6867876	+	2	TK06_RS30150	TK06_RS30155														
operon 1159	NZ_CP015225.1	6876813	6879873	-	3	TK06_RS30200	TK06_RS30205	TK06_RS30210													
operon 1160	NZ_CP015225.1	6880154	6882914	+	3	TK06_RS30215	TK06_RS30220	TK06_RS30225													
operon 1161	NZ_CP015225.1	6883092	6886919	+	2	TK06_RS30230	TK06_RS30235														
operon 1162	NZ_CP015225.1	6887256	6893411	-	8	TK06_RS30240	TK06_RS30245	TK06_RS30250	TK06_RS30255	TK06_RS30260	TK06_RS30265	TK06_RS30270	TK06_RS30275								
operon 1163	NZ_CP015225.1	6899417	6900768	-	2	TK06_RS30310	TK06_RS30315														
operon 1164	NZ_CP015225.1	6912121	6913145	+	2	TK06_RS30380	TK06_RS30385														
operon 1165	NZ_CP015225.1	6914965	6916273	-	2	TK06_RS30400	TK06_RS30405														
